Class Name,Subject Name,Chapter Name
Class 3,Sst,13. The Food We Eat
Class 3,Comp,8. Simple Programming in Scratch
Class 3,Comp,4. Editing and Formatting in Word 2016
Class 3,Comp,3. Getting Started with Windows 10
Class 3,Comp,5. Working with Paint 3D
Class 3,Comp,4. Editing and Formatting in Word 2016
Class 3,Comp,2. Hardware and Software
Class 3,Comp,9. Human vs Artificial Intelligence
Class 3,Comp,1. Know Your Computer
Class 3,Comp,7. Lets Learn Scratch 3
Class 3,Comp,6. Introduction to Internet
Class 3,GK,35. Relaxation
Class 3,GK,36. Kailasa Temple: A Marvel in Stone
Class 3,GK,30. Chair Pose
Class 3,GK,31. Dragon Pose
Class 3,GK,37. The Guardian of the Hill
Class 3,GK,5. Air Pollution
Class 3,GK,2. Flying Aeroplane
Class 3,GK,8. On the Road
Class 3,GK,7. Strange Animals
Class 3,GK,4. Great Rivers
Class 3,GK,1.  The Number Three
Class 3,GK,9. The Parliament
Class 3,GK,3. The World
Class 3,GK,6. Social Insects
Class 3,GK,1. Understanding Anger
Class 3,GK,2. Unstanding Emotions
Class 3,GK,10. Lost Cities
Class 3,GK,13. Our Neighbours
Class 3,GK,11. Presidents of India
Class 3,GK,12. Monuments
Class 3,GK,19. Smartphones
Class 3,GK,17. Word's First Plastic Surgeon
Class 3,GK,15. The Mystical Musical Pillars
Class 3,GK,18. Venus
Class 3,GK,33. Parrot/Bird Pose
Class 3,GK,32. Knee Hugging Pose
Class 3,GK,28. Camel Pose
Class 3,GK,29. Candle Pose
Class 3,GK,34. Ragdoll Pose
Class 3,GK,25. Hockey
Class 3,GK,20. Doctors
Class 3,GK,22. Writing
Class 3,GK,27. Throws
Class 3,GK,21. Tunnels
Class 3,GK,23. Photography
Class 3,GK,16. Museum of the Future
Class 3,GK,14. World's Highest Railway Bridge
Class 3,GK,26. Archery
Class 3,GK,24. Children's Games
Class 3,Conversation,19. Accidents and Their Causes
Class 3,Conversation,23. Harvest Festival
Class 3,Conversation,22. The Solar System
Class 3,Conversation,21. Weather
Class 3,Conversation,14. A Telephone Message
Class 3,Conversation,11. Birds - Their Flights
Class 3,Conversation,20. In a Hospital
Class 3,Conversation,13. Drawing Room
Class 3,Conversation,3. My Friend
Class 3,Conversation,8. My First Day at School
Class 3,Conversation,17. Different Homes
Class 3,Conversation,12. Plants - Their Uses
Class 3,Conversation,9. Invitation to the Principal
Class 3,Conversation,5. Our School Timetable
